Team,Avg Goals Scored,Avg Goals Conceded,Total WC Games
Algeria,0.9791666666666667,1.5208333333333335,14
Angola,0.25,0.75,3
Argentina,1.4351851851851851,1.1666666666666667,81
Australia,0.8690476190476191,1.9880952380952381,13
Austria,1.5673076923076923,1.5913461538461537,29
Belgium,1.29,1.4844444444444445,43
Bolivia,0.5,3.2,6
Brazil,1.9629455909943716,1.1679174484052532,108
Bulgaria,1.0751879699248121,1.8458646616541352,26
Cameroon,0.7916666666666667,1.878787878787879,23
Canada,0.0,1.5,3
Chile,1.292857142857143,1.3678571428571429,34
China PR,0.0,2.75,3
Colombia,1.478021978021978,1.3131868131868132,20
Costa Rica,1.05,1.4142857142857141,17
Croatia,1.1923076923076923,1.4230769230769231,16
Cuba,1.25,5.0,3
Czech Republic,1.5,1.0,3
Czechoslovakia,1.7750000000000001,1.3250000000000002,30
C�te d'Ivoire,1.5,1.4166666666666665,9
Denmark,1.7063492063492065,1.5396825396825398,16
Ecuador,1.0,1.0416666666666665,10
England,1.2343915343915344,0.9523809523809523,62
France,1.7634408602150535,1.1833333333333333,61
German DR,0.8333333333333333,0.8333333333333333,6
Germany,2.106060606060606,1.274891774891775,110
Ghana,1.0625,1.3125,12
Greece,0.6428571428571428,1.8214285714285714,11
Haiti,0.5,5.25,3
Honduras,0.325,1.55,9
Hungary,2.5277777777777777,1.8849206349206349,32
IR Iran,0.2,1.0,6
Iran,0.9,1.6,6
Iraq,0.25,1.25,3
Italy,1.4261133603238867,1.0519568151147098,83
Jamaica,1.0,3.0,3
Japan,0.85,1.2714285714285714,17
Korea DPR,0.8333333333333333,2.7916666666666665,7
Korea Republic,1.0252100840336134,2.1092436974789917,31
Mexico,1.1611842105263157,1.4358552631578947,54
Morocco,0.875,1.3472222222222223,13
Netherlands,1.7059659090909092,0.9644886363636364,54
New Zealand,0.8,1.8,6
Nigeria,1.0666666666666667,1.4777777777777779,19
Northern Ireland,1.0,1.6625,13
Norway,0.9285714285714286,0.5714285714285714,8
Paraguay,1.1363636363636362,1.3295454545454546,27
Peru,1.6,1.75,15
Poland,1.4104166666666667,1.3041666666666667,31
Portugal,1.475,1.20625,26
Romania,1.4583333333333335,1.5138888888888888,21
Russia,1.8333333333333333,1.25,9
Saudi Arabia,0.6785714285714286,2.4404761904761907,13
Scotland,1.1111111111111112,1.6825396825396826,23
Senegal,1.4166666666666665,1.3333333333333333,5
Serbia,0.5,1.0,3
Slovakia,1.25,1.75,4
Slovenia,0.8333333333333333,1.6666666666666665,6
South Africa,1.25,1.8333333333333335,9
Soviet Union,1.579059829059829,1.1153846153846154,31
Spain,1.5574712643678161,1.1206896551724137,59
Sweden,1.53411306042885,1.6208576998050683,46
Switzerland,1.4393939393939394,1.6666666666666665,34
Togo,0.5,2.0,3
Tunisia,0.875,1.4375,12
Turkey,3.125,1.0625,10
USA,1.1333333333333333,1.831578947368421,34
Ukraine,1.0,0.875,5
Uruguay,1.4821428571428572,1.4345238095238095,52
Wales,1.25,0.875,5
Yugoslavia,1.6852941176470588,1.1897058823529412,37
Zaire,0.0,5.75,3
"rn"">Bosnia and Herzegovina",1.75,1.25,3
"rn"">Republic of Ireland",0.7,0.7,13
"rn"">Serbia and Montenegro",0.5,2.75,3
"rn"">Trinidad and Tobago",0.0,1.0,3
"rn"">United Arab Emirates",0.5,3.25,3
